id;wins;totalChampionKills
10131;143;774
10132;112;808
136;136;881
20515;190;2627
20527;345;3862
20529;751;8572
20530;700;8572
20531;2886;40928
20533;1621;25083
20534;1007;12106
20541;245;3361
20543;699;11065
20544;724;9972
20545;117;1574
20547;1429;18479
20548;1402;17972
20552;981;12228
20554;1396;20461
20555;124;1549
20556;736;10654
20557;605;6447
20558;812;8004
20559;790;7391
20561;431;5792
20563;2576;33989
20567;994;17075
20568;755;10502
20569;1388;17859
20571;622;9951
20572;928;5535
20575;1856;31204
20576;1518;22743
20577;944;13963
20578;950;8900
20579;2068;26158
20580;1148;17002
20581;1324;18509
20582;2166;28574
20584;1780;21219
20586;667;9499
20587;983;13159
20588;1610;22283
20589;651;7060
20591;868;10726
20592;1720;29616
20593;589;6809
20594;124;1277
20597;273;4045
20598;2863;37625
20600;1550;21681
20601;1182;14279
20602;260;4911
20604;1063;12796
20607;572;8664
20609;782;11974
20610;732;8596
20611;272;3524
20615;1830;30184
20616;1027;13945
20617;1738;24183
20618;637;9256
20620;435;6170
20621;785;11041
20622;1483;20637
20624;1907;26487
20625;2705;28703
20626;1501;18832
20627;467;5467
20631;835;6376
20632;469;4951
20633;878;11490
20636;168;2141
20642;915;11507
20643;687;10504
20645;638;4990
20646;1631;26257
20647;1751;23401
20648;892;10518
20653;1120;11438
20654;1719;21102
20655;1081;15475
20657;1215;15942
20658;567;7179
20660;880;12607
20662;766;9103
20663;950;10596
20664;802;12255
20666;1286;11102
20667;1055;14177
20668;1592;24206
20671;911;11503
20674;612;8595
20675;477;4645
20677;1339;23881
20682;1109;14588
20686;1035;12640
20687;1038;14155
20688;1028;12383
20689;528;6962
20690;1871;29784
20693;1302;13091
21494;511;7334
21506;521;8908
21508;418;5122
21509;795;12504
21511;702;8368
21512;887;9083
21513;1148;11852
21517;452;4831
21520;920;7165
21521;1784;24128
21522;1380;18114
21524;1791;22260
21529;188;2395
21530;1503;24375
21531;1412;17959
21532;536;7428
21533;783;9783
21534;1877;23391
21536;238;3080
21537;295;4119
21538;1605;25423
21539;2136;31620
21540;1480;22590
21542;894;13457
21545;1079;17156
21546;1212;18543
21547;1176;11669
21548;1323;14206
21549;376;6038
21552;1504;22447
21553;1061;13199
21555;866;11631
21557;1652;23797
21558;633;9045
21559;950;12713
21560;699;9580
21561;2502;37969
21562;1064;7181
21565;876;9423
21569;1319;10826
21571;967;14334
21572;537;8728
21573;526;5187
21574;1015;12292
21575;1122;17351
21578;1906;25371
21581;826;10705
21583;1125;18590
21584;1484;21108
21586;1239;15948
21587;1629;22563
21588;110;1184
21589;710;8775
21591;635;8686
21592;811;10428
21594;1006;13053
21595;923;12359
21597;1280;15354
21598;1263;16842
21599;736;9165
21601;827;9320
21602;754;5404
21603;1744;20503
21605;933;11811
21606;790;6967
21607;2577;31814
21611;1615;18214
21615;873;10038
21616;502;5591
21618;1152;19739
21619;940;13749
21620;787;13655
21621;1766;25031
21623;810;10176
21624;1100;17509
21625;99;1331
21628;951;16447
21630;1099;16872
21633;961;13746
21635;1034;15304
21636;1449;24921
21639;1520;14415
21640;1378;17269
21645;540;8177
21646;1320;15655
21648;931;13517
21651;1060;16602
21652;2279;29053
21653;927;14753
21656;410;4840
21657;715;9411
21658;672;12370
21660;1636;28252
21662;1542;24834
21663;1265;11803
21664;1506;21810
21665;1264;15463
21666;822;8832
21667;1202;15489
21672;694;8441
21673;1294;18664
