id;wins;totalChampionKills
100002;601;7559
100003;398;3570
100004;800;8448
100006;322;5285
100009;254;3596
100010;269;2885
100015;583;9104
100016;1604;21573
100017;366;4263
100018;215;1510
100019;2205;27043
100020;489;6080
100021;557;4679
100022;963;13542
100023;825;12689
100025;1606;17120
100026;393;3722
100029;301;3983
100030;847;9719
100031;625;8097
100033;1041;14272
100036;933;10543
100038;692;8988
100039;1246;20377
100044;777;9831
100045;257;2805
100052;732;7042
100053;893;12470
100055;417;4189
100056;2426;24290
100065;1890;18353
100066;1208;15382
100068;1599;20017
100071;1664;30301
100072;919;11214
100073;694;11002
100077;712;10263
100078;976;11954
100079;1153;13352
100084;590;7220
100085;1730;17568
100086;377;5515
100090;1310;19558
100092;1213;17651
100093;675;9127
100094;1866;28700
100096;2221;38826
100100;1123;12538
100102;1356;16852
100103;638;8199
100106;698;9468
100108;1114;9447
100109;637;6482
100112;366;3789
100113;705;11318
100116;756;11871
100118;827;12215
100120;1276;15956
100121;1315;16957
100124;1190;14336
100125;1030;11506
100126;1282;16881
100129;1303;14003
100130;854;11041
100133;732;10299
100138;270;3565
100140;228;3338
100142;1083;14035
100144;949;8261
100147;942;16167
100150;1496;16520
100153;587;10083
100156;1145;16369
100157;692;11677
100159;382;5637
100161;1018;12789
100162;500;7272
100164;307;3512
100166;473;5447
100168;1005;14669
100169;1215;13526
100171;556;7674
100172;736;6100
100173;463;5883
100175;1014;12304
100176;615;6576
100178;2352;26384
100179;960;13651
100180;164;1651
100183;649;7668
100184;747;9862
100185;922;14242
100193;1026;13874
100194;745;7115
100196;1115;14784
100199;1000;9717
100201;1157;12166
100202;1083;12548
100203;1171;11229
100206;819;13936
100207;400;4710
100209;646;6550
100210;897;13157
100211;379;3338
100213;1955;28134
100214;1557;25241
100215;955;9248
100218;287;3667
100220;1663;23956
100222;1284;15897
100225;861;10870
100226;309;4035
100230;914;12799
100232;1670;22596
100233;1683;22633
100235;650;7931
100236;876;10836
100237;545;4375
100239;902;14568
100240;1392;18840
100242;1150;17053
100245;1901;22064
100246;837;8688
100247;471;6265
100248;622;10096
100252;1443;18682
100253;583;8916
100256;176;2461
100257;254;3885
100259;3732;53904
100261;400;6225
100262;1199;18816
100263;626;7279
100264;689;8943
100266;1909;22336
100267;1040;10642
100268;1008;15561
100272;773;7984
100273;2044;28514
100274;420;7120
100275;188;1315
100277;609;8538
100278;1089;17673
100281;922;13835
100283;513;4375
100284;1470;20407
100285;1882;27310
100287;439;5403
100290;557;8444
100291;162;1901
100293;1843;26806
100295;707;9156
100296;180;3067
100299;912;7370
100300;1302;20995
100301;1124;15645
100302;1033;15398
100303;1292;16271
100304;1554;18348
100305;360;4999
100308;191;2153
100309;628;7538
100310;952;10787
100312;2021;31308
100313;977;15947
100314;425;4533
100315;1614;26447
100316;1933;29924
100317;1402;12714
100321;146;2492
100322;585;9200
100325;844;12798
100326;2218;11628
100327;962;7301
100334;887;11146
100335;1936;26674
100337;1018;11757
100339;623;8644
100340;1174;13016
100341;1297;17272
100344;1821;21223
100346;968;10424
100348;1731;30194
100349;1514;23299
100351;139;2137
100352;1251;11187
100353;613;6338
100354;1225;15702
100358;370;5591
100359;1306;16497
100360;1130;16762
100361;1708;20801
100362;942;10380
100363;240;3998
100365;1239;20826
100366;1540;17806
100367;1092;14579
100369;262;3333
100370;1446;18726
100373;1202;12619
100374;745;9540
100376;696;10104
100377;713;9204
100379;1909;22855
100381;98;866
100382;1732;17560
100383;199;1851
100385;1334;16499
100387;1383;16917
100388;969;13207
